ID,Predicted_Total
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_1_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_2_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_3_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_4_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_5_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_6_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_7_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_8_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_10_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_11_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_12_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_9_2023_Diarrhea,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_1_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_2_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_3_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_4_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_5_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_6_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_7_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_8_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_10_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_11_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_12_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_9_2023_Dysentery,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_1_2023_Intestinal Worms,0.5453255759911545
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_2_2023_Intestinal Worms,0.15460353546311795
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_3_2023_Intestinal Worms,3.5738445637247356
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_4_2023_Intestinal Worms,0.6386477645517867
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_5_2023_Intestinal Worms,0.19232117001108162
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_6_2023_Intestinal Worms,0.19232117001108162
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_7_2023_Intestinal Worms,2.074508569236845
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_8_2023_Intestinal Worms,0.45676306602274025
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_10_2023_Intestinal Worms,0.36081829224259304
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_11_2023_Intestinal Worms,0.3133712637537326
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_12_2023_Intestinal Worms,0.18909109206289193
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_9_2023_Intestinal Worms,0.36081829224259304
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_1_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_2_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_3_2023_Malaria,0.852176989378267
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_4_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_5_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_6_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_7_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_8_2023_Malaria,0.3377280238461099
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_10_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_11_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_12_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_9_2023_Malaria,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_1_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_2_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_3_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_4_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_5_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_6_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_7_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_8_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_10_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_11_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_12_2023_Schistosomiasis,0.0
ID_3a11929e-3317-476d-99f7-1bd9fb58f018_9_2023_Schistosomiasis,0.0
